time,station,waiting_passengers
18:55,UNI,12169
18:55,WCH,12796
18:55,YAT,10751
18:56,ADM,9762
18:56,AWE,13504
18:56,CAB,11854
18:56,CEN,11399
18:56,CHH,11847
18:56,CHW,12976
18:56,CIO,12574
18:56,CKT,12531
18:56,CSW,11876
18:56,DIH,10768
18:56,DIS,13027
18:56,FAN,12527
18:56,FOT,12021
18:56,HAH,13024
18:56,HEO,12741
18:56,HIK,12592
18:56,HOM,11887
18:56,KET,12833
18:56,KOW,12787
18:56,KWH,12705
18:56,KWT,12131
18:56,LAT,12022
18:56,LCK,11732
18:56,LHP,14000
18:56,LOF,11897
18:56,LOW,13505
18:56,MEF,10285
18:56,MKK,12049
18:56,MOS,13136
18:56,NAC,11446
18:56,NTK,11920
18:56,PRE,9987
18:56,QUB,11050
18:56,SHM,12472
18:56,SHS,12691
18:56,SHT,12165
18:56,SIH,13149
18:56,SKM,11842
18:56,SOH,13116
18:56,SSP,11739
18:56,STW,12558
18:56,SUN,13112
18:56,SWH,12618
18:56,TAW,10696
18:56,TIH,11832
18:56,TSH,12777
18:56,TSW,12831
18:56,TSY,11933
18:56,TUC,13326
18:56,TUM,13194
18:56,TWO,12292
18:56,TWW,12181
18:56,UNI,12180
18:56,WCH,12806
18:56,WHA,12955
18:56,WTS,11933
18:56,YAT,10755
18:56,YMT,9658
18:57,ADM,9775
18:57,AWE,13513
18:57,CAB,11872
18:57,CEN,11404
18:57,CHH,11863
18:57,CHW,12997
18:57,CIO,12581
18:57,CKT,12543
18:57,CSW,11887
18:57,DIH,10772
18:57,DIS,13036
18:57,ETS,12417
18:57,FAN,12536
18:57,FOH,11957
18:57,FOT,12037
18:57,HAH,13032
18:57,HEO,12757
18:57,HIK,12606
18:57,HOM,11896
18:57,HUH,10531
18:57,KAT,12641
18:57,KET,12841
18:57,KOB,11869
18:57,KOT,9901
18:57,KOW,12800
18:57,KWH,12712
18:57,KWT,12133
18:57,LAT,12038
18:57,LCK,11749
18:57,LHP,14012
18:57,LOF,11905
18:57,LOW,13508
18:57,MEF,10293
18:57,MKK,12053
18:57,MOS,13147
18:57,NAC,11452
18:57,NTK,11932
18:57,POA,13278
18:57,PRE,10000
18:57,QUB,11057
18:57,SHM,12485
18:57,SHS,12707
18:57,SHT,12171
18:57,SIH,13160
18:57,SKM,11844
18:57,SOH,13127
18:57,SSP,11752
18:57,STW,12569
18:57,SUN,13119
18:57,SWH,12630
18:57,TAW,10714
18:57,TIH,11830
18:57,TIK,11337
18:57,TIS,12917
18:57,TKW,12447
18:57,TSH,12785
18:57,TSW,12847
18:57,TSY,11946
18:57,TUC,13335
18:57,TUM,13209
18:57,TWO,12312
18:57,TWW,12197
18:57,UNI,12191
18:57,WCH,12822
18:57,WHA,12965
18:57,WTS,11947
18:57,YAT,10768
18:57,YMT,9671
18:58,ADM,9781
18:58,AWE,13522
18:58,CAB,11886
18:58,CEN,11408
18:58,CHH,11876
18:58,CHW,13008
18:58,CIO,12604
18:58,CKT,12552
18:58,CSW,11897
18:58,DIH,10779
18:58,DIS,13045
18:58,ETS,12431
18:58,FAN,12554
18:58,FOH,11970
18:58,FOT,12044
18:58,HAH,13047
18:58,HEO,12763
18:58,HFC,12765
18:58,HIK,12619
18:58,HKU,12729
18:58,HOK,12445
18:58,HOM,11901
18:58,HUH,10540
18:58,KAT,12651
18:58,KET,12848
18:58,KOB,11876
18:58,KOT,9918
18:58,KOW,12809
18:58,KWH,12716
18:58,KWT,12144
18:58,LAK,10731
18:58,LAT,12046
18:58,LCK,11759
18:58,LET,12834
18:58,LHP,14023
18:58,LMC,13520
18:58,LOF,11920
18:58,LOW,13522
18:58,MEF,10305
18:58,MKK,12067
18:58,MOS,13162
18:58,NAC,11467
18:58,NOP,11358
18:58,NTK,11941
18:58,OCP,12440
18:58,POA,13287
18:58,PRE,10017
18:58,QUB,11071
18:58,SHM,12494
18:58,SHS,12712
18:58,SHT,12187
18:58,SHW,12439
18:58,SIH,13171
18:58,SKM,11854
18:58,SOH,13133
18:58,SSP,11767
18:58,STW,12580
18:58,SUN,13132
18:58,SUW,12427
18:58,SWH,12639
18:58,SYP,12747
18:58,TAK,12393
18:58,TAW,10726
18:58,TIH,11845
18:58,TIK,11348
18:58,TIS,12930
18:58,TKW,12461
18:58,TSH,12797
18:58,TSW,12851
18:58,TSY,11959
18:58,TUC,13342
18:58,TUM,13220
18:58,TWO,12325
18:58,TWW,12206
18:58,UNI,12202
18:58,WCH,12831
18:58,WHA,12971
18:58,WTS,11960
18:58,YAT,10779
18:58,YMT,9683
18:58,YUL,12815
18:59,ADM,9797
18:59,AUS,12537
18:59,AWE,13527
18:59,CAB,11896
18:59,CEN,11416
18:59,CHH,11881
18:59,CHW,13017
18:59,CIO,12621
18:59,CKT,12551
18:59,CSW,11910
18:59,DIH,10794
18:59,DIS,13057
18:59,ETS,12438
18:59,EXC,12286
18:59,FAN,12570
18:59,FOH,11979
18:59,FOT,12058
18:59,HAH,13061
18:59,HEO,12778
18:59,HFC,12780
18:59,HIK,12631
18:59,HKU,12737
18:59,HOK,12451
18:59,HOM,11909
18:59,HUH,10545
18:59,JOR,11912
18:59,KAT,12655
18:59,KET,12855
18:59,KOB,11881
18:59,KOT,9916
18:59,KOW,12825
18:59,KSR,12724
18:59,KWH,12727
18:59,KWT,12152
18:59,LAK,10745
18:59,LAT,12064
18:59,LCK,11769
18:59,LET,12846
18:59,LHP,14038
18:59,LMC,13533
18:59,LOF,11928
18:59,LOW,13535
18:59,MEF,10307
18:59,MKK,12074
18:59,MOK,9541
18:59,MOS,13172
18:59,NAC,11476
18:59,NOP,11365
18:59,NTK,11951
18:59,OCP,12447
18:59,POA,13300
18:59,PRE,10014
18:59,QUB,11081
18:59,SHM,12498
18:59,SHS,12732
18:59,SHT,12202
18:59,SHW,12454
18:59,SIH,13191
18:59,SKM,11860
18:59,SKW,12641
18:59,SOH,13147
18:59,SSP,11785
18:59,STW,12596
18:59,SUN,13140
18:59,SUW,12444
18:59,SWH,12652
18:59,SYP,12765
18:59,TAK,12401
18:59,TAP,12182
18:59,TAW,10730
18:59,TIH,11857
18:59,TIK,11353
18:59,TIS,12945
18:59,TKW,12466
18:59,TSH,12808
18:59,TSW,12861
18:59,TSY,11964
18:59,TUC,13354
18:59,TUM,13229
18:59,TWO,12329
18:59,TWW,12215
18:59,UNI,12210
18:59,WCH,12843
18:59,WHA,12978
18:59,WTS,11964
18:59,YAT,10787
18:59,YMT,9686
18:59,YUL,12829
19:00,ADM,9796
19:00,AIR,13331
19:00,AUS,12545
19:00,AWE,13541
19:00,CAB,11910
19:00,CEN,11428
19:00,CHH,11884
19:00,CHW,13034
19:00,CIO,12634
19:00,CKT,12567
19:00,CSW,11919
19:00,DIH,10807
19:00,DIS,13067
19:00,ETS,12446
19:00,EXC,12296
19:00,FAN,12580
19:00,FOH,11986
19:00,FOT,12069
19:00,HAH,13077
19:00,HEO,12787
19:00,HFC,12791
19:00,HIK,12644
19:00,HKU,12742
19:00,HOK,12455
19:00,HOM,11919
19:00,HUH,10550
19:00,JOR,11921
19:00,KAT,12669
19:00,KET,12865
19:00,KOB,11895
19:00,KOT,9928
19:00,KOW,12839
19:00,KSR,12724
19:00,KWH,12736
19:00,KWT,12163
19:00,LAK,10758
19:00,LAT,12069
19:00,LCK,11784
19:00,LET,12859
19:00,LHP,14054
19:00,LMC,13544
19:00,LOF,11940
19:00,LOW,13548
19:00,MEF,10316
19:00,MKK,12091
19:00,MOK,9555
19:00,MOS,13186
19:00,NAC,11484
19:00,NOP,11379
19:00,NTK,11958
19:00,OCP,12457
19:00,OLY,13039
19:00,POA,13313
19:00,PRE,10021
19:00,QUB,11097
19:00,SHM,12509
19:00,SHS,12745
19:00,SHT,12213
19:00,SHW,12456
19:00,SIH,13202
19:00,SKM,11879
19:00,SKW,12651
19:00,SOH,13162
19:00,SSP,11798
19:00,STW,12605
19:00,SUN,13153
19:00,SUW,12449
19:00,SWH,12662
19:00,SYP,12779
19:00,TAK,12420
19:00,TAP,12193
19:00,TAW,10740
19:00,TIH,11867
19:00,TIK,11364
19:00,TIS,12954
19:00,TKO,12517
19:00,TKW,12477
19:00,TSH,12822
19:00,TSW,12873
19:00,TSY,11973
19:00,TUC,13366
19:00,TUM,13231
19:00,TWH,12818
19:00,TWO,12336
19:00,TWW,12222
19:00,UNI,12227
19:00,WCH,12858
19:00,WHA,12988
19:00,WTS,11977
19:00,YAT,10800
19:00,YMT,9684
19:00,YUL,12839
19:01,ADM,9803
19:01,AIR,13348
19:01,AUS,12559
19:01,AWE,13556
19:01,CAB,11909
19:01,CEN,11440
19:01,CHH,11892
19:01,CHW,13045
19:01,CIO,12648
19:01,CKT,12576
19:01,CSW,11931
19:01,DIH,10821
19:01,DIS,13077
19:01,ETS,12462
19:01,EXC,12305
19:01,FAN,12591
19:01,FOH,11994
19:01,FOT,12073
19:01,HAH,13082
19:01,HEO,12801
19:01,HFC,12800
19:01,HIK,12654
19:01,HKU,12750
19:01,HOK,12469
19:01,HOM,11927
19:01,HUH,10560
19:01,JOR,11931
19:01,KAT,12690
19:01,KET,12869
19:01,KOB,11911
19:01,KOT,9937
19:01,KOW,12854
19:01,KSR,12732
19:01,KWF,12592
19:01,KWH,12746
19:01,KWT,12170
19:01,LAK,10769
19:01,LAT,12078
19:01,LCK,11792
19:01,LET,12874
19:01,LHP,14078
19:01,LMC,13552
19:01,LOF,11953
19:01,LOP,12932
19:01,LOW,13564
19:01,MEF,10319
19:01,MKK,12101
19:01,MOK,9561
19:01,MOS,13197
19:01,NAC,11487
19:01,NOP,11389
19:01,NTK,11972
19:01,OCP,12470
19:01,OLY,13050
19:01,POA,13323
19:01,PRE,10031
19:01,QUB,11104
19:01,SHM,12513
19:01,SHS,12749
19:01,SHT,12220
19:01,SHW,12463
19:01,SIH,13204
19:01,SKM,11892
19:01,SKW,12662
19:01,SOH,13177
19:01,SSP,11812
19:01,STW,12614
19:01,SUN,13168
19:01,SUW,12454
19:01,SWH,12667
19:01,SYP,12792
19:01,TAK,12433
19:01,TAP,12205
19:01,TAW,10750
19:01,TIH,11879
19:01,TIK,11373
19:01,TIS,12966
19:01,TKO,12530
19:01,TKW,12479
19:01,TSH,12835
19:01,TSW,12883
19:01,TSY,11985
19:01,TUC,13380
19:01,TUM,13249
19:01,TWH,12830
19:01,TWO,12350
19:01,TWW,12232
19:01,UNI,12245
19:01,WAC,11733
19:01,WCH,12877
19:01,WHA,12997
19:01,WTS,11988
19:01,YAT,10805
19:01,YMT,9695
19:01,YUL,12856
19:02,ADM,9819
19:02,AIR,13357
19:02,AUS,12573
19:02,AWE,13567
19:02,CAB,11924
19:02,CEN,11443
19:02,CHH,11907
19:02,CHW,13058
19:02,CIO,12666
19:02,CKT,12582
19:02,CSW,11940
19:02,DIH,10822
19:02,DIS,13084
19:02,ETS,12474
19:02,EXC,12317
19:02,FAN,12593
19:02,FOH,12008
19:02,FOT,12090
19:02,HAH,13094
19:02,HEO,12814
19:02,HFC,12809
19:02,HIK,12665
19:02,HKU,12760
19:02,HOK,12480
19:02,HOM,11933
19:02,HUH,10571
19:02,JOR,11938
19:02,KAT,12706
19:02,KET,12883
19:02,KOB,11919
19:02,KOT,9940
19:02,KOW,12862
19:02,KSR,12744
19:02,KWF,12606
19:02,KWH,12760
19:02,KWT,12179
19:02,LAK,10780
19:02,LAT,12091
19:02,LCK,11807
19:02,LET,12884
19:02,LHP,14085
19:02,LMC,13561
19:02,LOF,11955
19:02,LOP,12944
19:02,LOW,13574
19:02,MEF,10334
19:02,MKK,12115
19:02,MOK,9553
19:02,MOS,13213
19:02,NAC,11498
19:02,NOP,11391
19:02,NTK,11987
19:02,OCP,12487
19:02,OLY,13067
19:02,POA,13331
19:02,PRE,10039
19:02,QUB,11121
19:02,SHM,12519
19:02,SHS,12755
19:02,SHT,12232
19:02,SHW,12477
19:02,SIH,13214
19:02,SKM,11899
19:02,SKW,12681
19:02,SOH,13186
19:02,SSP,11822
19:02,STW,12626
19:02,SUN,13177
19:02,SUW,12465
19:02,SWH,12673
19:02,SYP,12802
19:02,TAK,12446
19:02,TAP,12223
19:02,TAW,10763
19:02,TIH,11882
19:02,TIK,11381
19:02,TIS,12981
19:02,TKO,12546
19:02,TKW,12491
19:02,TSH,12840
19:02,TSW,12896
19:02,TSY,11994
19:02,TUC,13387
19:02,TUM,13265
19:02,TWH,12839
19:02,TWO,12360
19:02,TWW,12244
19:02,UNI,12259
19:02,WAC,11750
19:02,WCH,12889
19:02,WHA,13005
19:02,WKS,13285
19:02,WTS,12004
19:02,YAT,10819
19:02,YMT,9708
19:02,YUL,12863
19:03,ADM,9828
19:03,AIR,13374
19:03,AUS,12575
19:03,AWE,13579
19:03,CAB,11930
19:03,CEN,11449
19:03,CHH,11924
19:03,CHW,13063
19:03,CIO,12678
19:03,CKT,12592
19:03,CSW,11942
19:03,DIH,10835
19:03,DIS,13097
19:03,ETS,12485
19:03,EXC,12334
19:03,FAN,12606
19:03,FOH,12020
19:03,FOT,12104
19:03,HAH,13098
19:03,HEO,12825
19:03,HFC,12818
19:03,HIK,12673
19:03,HKU,12779
19:03,HOK,12494
19:03,HOM,11944
19:03,HUH,10580
19:03,JOR,11948
19:03,KAT,12721
19:03,KET,12894
19:03,KOB,11924
19:03,KOT,9952
19:03,KOW,12867
19:03,KSR,12752
19:03,KWF,12616
19:03,KWH,12773
19:03,KWT,12187
19:03,LAK,10787
19:03,LAT,12103
19:03,LCK,11816
19:03,LET,12896
19:03,LHP,14094
19:03,LMC,13573
19:03,LOF,11965
19:03,LOP,12959
19:03,LOW,13585
19:03,MEF,10340
19:03,MKK,12134
19:03,MOK,9563
19:03,MOS,13218
19:03,NAC,11512
19:03,NOP,11399
19:03,NTK,11994
19:03,OCP,12502
19:03,OLY,13077
19:03,POA,13342
19:03,PRE,10048
19:03,QUB,11129
19:03,SHM,12528
19:03,SHS,12762
19:03,SHT,12245
19:03,SHW,12494
19:03,SIH,13226
19:03,SKM,11912
19:03,SKW,12693
19:03,SOH,13201
19:03,SSP,11837
19:03,STW,12634
19:03,SUN,13187
19:03,SUW,12470
19:03,SWH,12678
19:03,SYP,12812
19:03,TAK,12458
19:03,TAP,12240
19:03,TAW,10772
19:03,TIH,11899
19:03,TIK,11384
19:03,TIS,12992
19:03,TKO,12559
19:03,TKW,12505
19:03,TSH,12854
19:03,TST,11888
19:03,TSW,12911
19:03,TSY,12005
19:03,TUC,13397
19:03,TUM,13281
19:03,TWH,12854
19:03,TWO,12378
19:03,TWW,12254
19:03,UNI,12272
19:03,WAC,11757
19:03,WCH,12904
19:03,WHA,13017
19:03,WKS,13296
19:03,WTS,12013
19:03,YAT,10827
19:03,YMT,9716
19:03,YUL,12872
19:04,ADM,9842
19:04,AIR,13394
19:04,AUS,12591
19:04,AWE,13589
19:04,CAB,11943
19:04,CEN,11454
19:04,CHH,11928
19:04,CHW,13070
19:04,CIO,12684
19:04,CKT,12605
19:04,CSW,11951
19:04,DIH,10845
19:04,DIS,13104
19:04,ETS,12505
19:04,EXC,12344
19:04,FAN,12619
19:04,FOH,12038
19:04,FOT,12113
19:04,HAH,13112
19:04,HEO,12842
19:04,HFC,12830
19:04,HIK,12689
19:04,HKU,12791
19:04,HOK,12505
19:04,HOM,11957
19:04,HUH,10592
19:04,JOR,11963
19:04,KAT,12736
19:04,KET,12901
19:04,KOB,11936
19:04,KOT,9954
19:04,KOW,12875
19:04,KSR,12765
19:04,KWF,12629
19:04,KWH,12785
19:04,KWT,12202
19:04,LAK,10793
19:04,LAT,12113
19:04,LCK,11827
19:04,LET,12917
19:04,LHP,14105
19:04,LMC,13586
19:04,LOF,11972
19:04,LOP,12973
19:04,LOW,13593
19:04,MEF,10348
19:04,MKK,12140
19:04,MOK,9580
19:04,MOS,13227
19:04,NAC,11525
19:04,NOP,11407
19:04,NTK,11997
19:04,OCP,12510
19:04,OLY,13087
19:04,POA,13346
19:04,PRE,10046
19:04,QUB,11140
19:04,SHM,12543
19:04,SHS,12775
19:04,SHT,12257
19:04,SHW,12508
19:04,SIH,13240
19:04,SKM,11923
19:04,SKW,12698
19:04,SOH,13200
19:04,SSP,11849
19:04,STW,12644
19:04,SUN,13195
19:04,SUW,12485
19:04,SWH,12691
19:04,SYP,12829
19:04,TAK,12466
19:04,TAP,12251
19:04,TAW,10785
19:04,TIH,11907
19:04,TIK,11390
19:04,TIS,13004
19:04,TKO,12570
19:04,TKW,12521
19:04,TSH,12860
19:04,TST,11901
19:04,TSW,12923
19:04,TSY,12015
19:04,TUC,13406
19:04,TUM,13296
19:04,TWH,12861
19:04,TWO,12382
19:04,TWW,12268
19:04,UNI,12278
19:04,WAC,11770
19:04,WCH,12911
19:04,WHA,13023
19:04,WKS,13314
19:04,WTS,12011
19:04,YAT,10841
19:04,YMT,9720
19:04,YUL,12876
19:05,ADM,9849
19:05,AIR,13407
19:05,AUS,12602
19:05,AWE,13601
19:05,CAB,11948
19:05,CEN,11466
19:05,CHH,11937
19:05,CHW,13083
19:05,CIO,12692
19:05,CKT,12608
19:05,CSW,11959
19:05,DIH,10853
19:05,DIS,13122
19:05,ETS,12521
19:05,EXC,12358
19:05,FAN,12633
19:05,FOH,12046
19:05,FOT,12127
19:05,HAH,13120
19:05,HEO,12855
19:05,HFC,12842
19:05,HIK,12697
19:05,HKU,12796
19:05,HOK,12522
19:05,HOM,11972
19:05,HUH,10605
19:05,JOR,11979
19:05,KAT,12739
19:05,KET,12915
19:05,KOB,11954
19:05,KOT,9970
19:05,KOW,12890
19:05,KSR,12773
19:05,KWF,12632
19:05,KWH,12794
19:05,KWT,12213
19:05,LAK,10807
19:05,LAT,12122
19:05,LCK,11835
19:05,LET,12934
19:05,LHP,14110
19:05,LMC,13594
19:05,LOF,11984
19:05,LOP,12986
19:05,LOW,13603
19:05,MEF,10359
19:05,MKK,12145
19:05,MOK,9591
19:05,MOS,13243
19:05,NAC,11540
19:05,NOP,11419
19:05,NTK,12007
19:05,OCP,12521
19:05,OLY,13092
19:05,POA,13360
19:05,PRE,10049
19:05,QUB,11149
19:05,SHM,12553
19:05,SHS,12789
19:05,SHT,12263
19:05,SHW,12514
19:05,SIH,13252
19:05,SKM,11933
19:05,SKW,12709
19:05,SOH,13216
19:05,SSP,11862
19:05,STW,12656
19:05,SUN,13210
19:05,SUW,12498
19:05,SWH,12702
19:05,SYP,12846
19:05,TAK,12478
19:05,TAP,12259
19:05,TAW,10797
19:05,TIH,11920
19:05,TIK,11412
19:05,TIS,13019
19:05,TKO,12578
19:05,TKW,12532
19:05,TSH,12869
19:05,TST,11901
19:05,TSW,12936
19:05,TSY,12021
19:05,TUC,13420
19:05,TUM,13308
19:05,TWH,12871
19:05,TWO,12391
19:05,TWW,12282
19:05,UNI,12293
19:05,WAC,11781
19:05,WCH,12918
19:05,WHA,13031
19:05,WKS,13331
19:05,WTS,12026
19:05,YAT,10851
19:05,YMT,9725
19:05,YUL,12884
19:06,ADM,9861
19:06,AIR,13415
19:06,AUS,12614
19:06,AWE,13617
19:06,CAB,11947
19:06,CEN,11479
19:06,CHH,11948
19:06,CHW,13098
19:06,CIO,12705
19:06,CKT,12607
19:06,CSW,11965
19:06,DIH,10859
19:06,DIS,13136
19:06,ETS,12524
19:06,EXC,12372
19:06,FAN,12640
19:06,FOH,12057
19:06,FOT,12135
19:06,HAH,13128
19:06,HEO,12865
19:06,HFC,12862
19:06,HIK,12706
19:06,HKU,12801
19:06,HOK,12543
19:06,HOM,11976
19:06,HUH,10614
19:06,JOR,11985
19:06,KAT,12751
19:06,KET,12929
19:06,KOB,11962
19:06,KOT,9980
19:06,KOW,12906
19:06,KSR,12784
19:06,KWF,12648
19:06,KWH,12807
19:06,KWT,12216
19:06,LAK,10814
19:06,LAT,12135
19:06,LCK,11842
19:06,LET,12945
19:06,LHP,14118
19:06,LMC,13597
19:06,LOF,11997
19:06,LOP,13005
19:06,LOW,13618
19:06,MEF,10360
19:06,MKK,12152
19:06,MOK,9606
19:06,MOS,13252
19:06,NAC,11548
19:06,NOP,11428
19:06,NTK,12021
19:06,OCP,12532
19:06,OLY,13109
19:06,POA,13373
19:06,PRE,10067
19:06,QUB,11157
19:06,SHM,12564
19:06,SHS,12797
19:06,SHT,12280
19:06,SHW,12528
19:06,SIH,13262
19:06,SKM,11945
19:06,SKW,12724
19:06,SOH,13227
19:06,SSP,11868
19:06,STW,12668
19:06,SUN,13228
19:06,SUW,12509
19:06,SWH,12704
19:06,SYP,12862
19:06,TAK,12485
19:06,TAP,12263
19:06,TAW,10815
19:06,TIH,11933
19:06,TIK,11424
19:06,TIS,13024
19:06,TKO,12582
19:06,TKW,12544
19:06,TSH,12879
19:06,TST,11921
19:06,TSW,12947
19:06,TSY,12033
19:06,TUC,13423
19:06,TUM,13326
19:06,TWH,12886
19:06,TWO,12403
19:06,TWW,12299
19:06,UNI,12300
19:06,WAC,11793
19:06,WCH,12929
19:06,WHA,13046
19:06,WKS,13344
19:06,WTS,12044
19:06,YAT,10853
19:06,YMT,9739
19:06,YUL,12896
19:07,ADM,9875
19:07,AIR,13424
19:07,AUS,12619
19:07,AWE,13632
19:07,CAB,11960
19:07,CEN,11496
19:07,CHH,11961
19:07,CHW,13105
19:07,CIO,12713
19:07,CKT,12617
19:07,CSW,11976
19:07,DIH,10862
19:07,DIS,13148
19:07,ETS,12538
19:07,EXC,12387
19:07,FAN,12646
19:07,FOH,12073
19:07,FOT,12145
19:07,HAH,13143
19:07,HEO,12878
19:07,HFC,12871
19:07,HIK,12709
19:07,HKU,12813
19:07,HOK,12549
19:07,HOM,11978
19:07,HUH,10621
19:07,JOR,11994
19:07,KAT,12760
19:07,KET,12944
19:07,KOB,11970
19:07,KOT,9987
19:07,KOW,12911
19:07,KSR,12791
19:07,KWF,12662
19:07,KWH,12820
19:07,KWT,12228
19:07,LAK,10820
19:07,LAT,12146
19:07,LCK,11856
19:07,LET,12948
19:07,LHP,14135
19:07,LMC,13618
19:07,LOF,11997
19:07,LOP,13018
19:07,LOW,13638
19:07,MEF,10367
19:07,MKK,12162
19:07,MOK,9599
19:07,MOS,13266
19:07,NAC,11557
19:07,NOP,11434
19:07,NTK,12032
19:07,OCP,12541
19:07,OLY,13125
19:07,POA,13388
19:07,PRE,10080
19:07,QUB,11170
19:07,SHM,12580
19:07,SHS,12816
19:07,SHT,12293
19:07,SHW,12540
19:07,SIH,13277
19:07,SKM,11948
19:07,SKW,12739
19:07,SOH,13237
19:07,SSP,11879
19:07,STW,12680
19:07,SUN,13237
19:07,SUW,12521
19:07,SWH,12712
19:07,SYP,12874
19:07,TAK,12494
19:07,TAP,12277
19:07,TAW,10825
19:07,TIH,11937
19:07,TIK,11438
19:07,TIS,13033
19:07,TKO,12589
19:07,TKW,12553
19:07,TSH,12892
19:07,TST,11925
19:07,TSW,12964
19:07,TSY,12044
19:07,TUC,13435
19:07,TUM,13333
19:07,TWH,12898
19:07,TWO,12411
19:07,TWW,12301
19:07,UNI,12307
19:07,WAC,11809
19:07,WCH,12940
19:07,WHA,13054
19:07,WKS,13354
19:07,WTS,12058
19:07,YAT,10863
19:07,YMT,9752
19:07,YUL,12904
19:08,ADM,9879
19:08,AIR,13437
19:08,AUS,12632
19:08,AWE,13642
19:08,CAB,11976
19:08,CEN,11503
19:08,CHH,11970
19:08,CHW,13116
19:08,CIO,12717
19:08,CKT,12634
19:08,CSW,11988
19:08,DIH,10876
19:08,DIS,13163
19:08,ETS,12549
19:08,EXC,12411
19:08,FAN,12656
19:08,FOH,12085
19:08,FOT,12157
19:08,HAH,13154
19:08,HEO,12895
19:08,HFC,12882
19:08,HIK,12717
19:08,HKU,12825
19:08,HOK,12560
19:08,HOM,11985
19:08,HUH,10623
19:08,JOR,12000
19:08,KAT,12774
19:08,KET,12960
19:08,KOB,11971
19:08,KOT,10004
19:08,KOW,12921
19:08,KSR,12797
19:08,KWF,12669
19:08,KWH,12826
19:08,KWT,12241
19:08,LAK,10822
19:08,LAT,12156
19:08,LCK,11868
19:08,LET,12956
19:08,LHP,14148
19:08,LMC,13631
19:08,LOF,12007
19:08,LOP,13036
19:08,LOW,13651
19:08,MEF,10381
19:08,MKK,12179
19:08,MOK,9610
19:08,MOS,13276
19:08,NAC,11560
19:08,NOP,11443
19:08,NTK,12039
19:08,OCP,12556
19:08,OLY,13131
19:08,POA,13401
19:08,PRE,10094
19:08,QUB,11178
19:08,SHM,12592
19:08,SHS,12829
19:08,SHT,12302
19:08,SHW,12555
19:08,SIH,13284
19:08,SKM,11955
19:08,SKW,12748
19:08,SOH,13249
19:08,SSP,11890
19:08,STW,12692
19:08,SUN,13248
19:08,SUW,12530
19:08,SWH,12726
19:08,SYP,12880
19:08,TAK,12503
19:08,TAP,12289
19:08,TAW,10835
19:08,TIH,11950
19:08,TIK,11449
19:08,TIS,13050
19:08,TKO,12597
19:08,TKW,12564
19:08,TSH,12906
19:08,TST,11936
19:08,TSW,12974
19:08,TSY,12055
19:08,TUC,13451
19:08,TUM,13344
19:08,TWH,12910
19:08,TWO,12423
19:08,TWW,12317
19:08,UNI,12317
19:08,WAC,11811
19:08,WCH,12952
19:08,WHA,13063
19:08,WKS,13363
19:08,WTS,12073
19:08,YAT,10879
19:08,YMT,9768
19:08,YUL,12915
19:09,ADM,9884
19:09,AIR,13448
19:09,AUS,12646
